,year,mean_agb_Mg_per_ha,total_agb_Mg
0,1985,,
1,1986,,
2,1987,,
3,1988,,
4,1989,,
5,1990,,
6,1991,,
7,1992,,
8,1993,,
9,1994,,
10,1995,,
11,1996,,
12,1997,,
13,1998,,
14,1999,,
15,2000,,
16,2001,,
17,2002,,
18,2003,,
19,2004,,
20,2005,,
21,2006,,
22,2007,,
23,2008,,
24,2009,,
25,2010,25.55351481656435,31554368.197369613
26,2011,,
27,2012,,
28,2013,,
29,2014,,
30,2015,20.75299525918489,25626519.8078387
31,2016,25.096547761450786,30990089.396013718
32,2017,25.211769593986627,31132369.31931628
33,2018,24.697940219473445,30497874.949739255
34,2019,26.757266691650617,33040802.84862645
35,2020,25.354240157268865,31308296.922362898
36,2021,30.362332446532946,37492463.33532969
37,2022,,
38,2023,,
39,2024,,
40,2025,,
